company_name,homepage_url,main_domain
Greenplum Software,http://www.greenplum.com,greenplum
Image Socket,http://www.imagesocket.com,imagesocket
Webdyn,http://www.webdyn.com,webdyn
Drillster,http://www.drillster.com,drillster
Mena Cleantech,https://www.menacleantech.com,menacleantech
hyaqu,http://www.hyaqu.com,hyaqu
Newlight Technologies,http://newlight.com,newlight
Sensegon,http://www.sensegon.com,sensegon
WayConnected,http://wayconnected.com,wayconnected
SpumeNews,http://spumenews.com,spumenews
Frengo,http://www.frengo.com,frengo
NinthDecimal,http://www.ninthdecimal.com,ninthdecimal
Solexa,https://www.solexa.com,solexa
Giftango,http://www.giftango.com,giftango
Xcell Medical,https://www.xcellmedical.com,xcellmedical
Bango,http://www.bango.com,bango
Zipongo,http://www.zipongo.com,zipongo
Spotzer,http://www.getspotzer.com,getspotzer
Global Silicon,https://www.globalsilicon.com,globalsilicon
Navarik,https://www.navarik.com,navarik
Shoptimise,http://www.shoptimise.fr,shoptimise
Ruckus,http://www.ruckusnetwork.com,ruckusnetwork
Adeze,http://www.adeze.com,adeze
Applicasa,http://www.applicasa.com,applicasa
Cardback,http://cardback.in,cardback
Spikes Cavell & Co,http://www.spikescavell.net,spikescavell
SCS Group,http://www.groupscs.co.uk,groupscs
Londons Holiday Apartments,http://www.londonsholidayapartments.com,londonsholidayapartments
Empire Genomics,http://www.empiregenomics.com,empiregenomics
KODA,http://koda.us,koda
Stackops,http://www.stackops.com,stackops
